AuthorIDs,Feminine (non-Masculine),Sinistral (non-Dextral),"High fluency, neatness and quality (Feminine)",Hand printing (Feminine),Bubblier / Curvier / Circular writing (Feminine),Uniform slant (Feminine),Mannerisms (Feminine),"Low fluency, neatness and quality (Masculine)",Slant heavier than 70 degrees (Masculine),Angular writing (Masculine),Dashed i (Masculine),Higher pressure / shading / jabbing (Masculine),"Writing smaller than 1,5 mm (Masculine)","Writing larger than 4,0 mm (Masculine)",Right to left horizontal lines (Sinistral),Circular forms executed clockwise (Sinistral),Vertical or backhand slant (Sinistral),Alternate slant (Sinistral),Terminal strokes upwards and to the left (Sinistral),Heavier pressure on up-strokes than down-strokes (Sinistral)
cvl-0021,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
cvl-0022,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
cvl-0023,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
cvl-0024,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
cvl-0025,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
cvl-0026,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0
cvl-0027,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cvl-0028,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
cvl-0029,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
cvl-0041,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1
cvl-0042,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
cvl-0047,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cvl-0050,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
iam-0550,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
iam-0551,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
iam-0553,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
iam-0554,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0555,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
iam-0556,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
iam-0557,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
iam-0558,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
iam-0559,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
iam-0560,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iam-0561,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0
iam-0562,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
iam-0563,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
iam-0564,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0565,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0566,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
iam-0567,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
iam-0568,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0569,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
iam-0570,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
iam-0571,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
iam-0572,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
iam-0573,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
iam-0574,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
iam-0575,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
iam-0576,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
iam-0577,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iam-0578,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
iam-0579,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0580,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iam-0581,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0582,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
iam-0583,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
iam-0584,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
iam-0585,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
iam-0586,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
iam-0587,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
iam-0588,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
iam-0589,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
iam-0590,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0591,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0592,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
iam-0593,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iam-0594,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iam-0595,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
iam-0596,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
iam-0597,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
iam-0598,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iam-0599,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
iam-0600,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
iam-0601,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
iam-0602,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
iam-0603,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
iam-0604,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
iam-0605,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
iam-0606,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iam-0607,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0
iam-0608,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
iam-0609,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
iam-0610,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
iam-0611,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
iam-0612,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
iam-0613,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
iam-0614,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
iam-0615,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iam-0616,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
iam-0617,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
iam-0618,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
iam-0619,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
iam-0620,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
iam-0621,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
iam-0622,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
iam-0623,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
iam-0624,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
iam-0625,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iam-0626,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
iam-0627,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
iam-0628,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
iam-0629,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
iam-0630,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iam-0631,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
iam-0632,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
iam-0633,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0634,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
iam-0635,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
iam-0636,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
iam-0637,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
iam-0638,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iam-0639,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iam-0640,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
iam-0641,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
iam-0642,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
iam-0643,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
iam-0644,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0645,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0647,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
iam-0648,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
iam-0649,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iam-0650,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iam-0651,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
iam-0652,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
iam-0653,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
iam-0654,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
iam-0655,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
iam-0658,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
iam-0659,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
iam-0660,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
iam-0661,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
iam-0662,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0663,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
iam-0664,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
iam-0665,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
iam-0666,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iam-0667,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iam-0668,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
iam-0669,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
iam-0670,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
iam-0671,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
